BrandName,TotalRecalls,UniqueProducts,UniquePathogens,YearsActive,DominantPathogen,DominantClass,DominantSeason,FirstRecall,LastRecall,AvgDaysBetweenRecalls,ClassI,ClassII,ClassIII,UnknownClass,ClassI_Pct,ClassII_Pct,ClassIII_Pct,UnknownClass_Pct
Onroute,4,3,1,1,microbiological (pathogenic) listeria,Class I,Fall,2019-10-01,2019-10-01,0.0,4,0,0,0,100.0,0.0,0.0,0.0
Harvest Sweet,4,3,2,2,microbiological (pathogenic) listeria,Class I,Summer,2014-07-21,2020-08-22,556.0,4,0,0,0,100.0,0.0,0.0,0.0
Mumm'S Sprouting Seeds,4,1,1,1,microbiological (pathogenic) salmonella,Class II,Fall,2021-11-06,2021-11-06,0.0,0,4,0,0,0.0,100.0,0.0,0.0
Pc Blue Menu,4,4,1,1,microbiological (pathogenic) e.coli o157:h7,Class I,Spring,2012-03-17,2012-03-17,0.0,4,0,0,0,100.0,0.0,0.0,0.0
Murray'S Farm Butcher Shoppe,4,3,1,1,microbiological (pathogenic) e.coli o157:h7,Class I,Fall,2019-10-17,2019-10-17,0.0,4,0,0,0,100.0,0.0,0.0,0.0
Nardini Specialties,4,4,1,1,microbiological (pathogenic) e.coli o157:h7,Class I,Fall,2019-10-11,2019-10-11,0.0,4,0,0,0,100.0,0.0,0.0,0.0
Mf Inc.,4,4,1,1,microbiological (pathogenic) clostridium botulinum,Class I,Fall,2019-10-19,2019-10-19,0.0,4,0,0,0,100.0,0.0,0.0,0.0
Jensen Cheese,4,3,1,1,microbiological (pathogenic) listeria,Class I,Winter,2014-02-07,2014-02-10,0.8,4,0,0,0,100.0,0.0,0.0,0.0
Wahu,4,4,1,1,microbiological (pathogenic) salmonella,Class II,Spring,2022-04-21,2022-04-21,0.0,0,4,0,0,0.0,100.0,0.0,0.0
Aqua Okeano / Seven Baskets,4,4,1,1,microbiological (pathogenic) clostridium botulinum,Class I,Winter,2020-02-25,2020-02-25,0.0,4,0,0,0,100.0,0.0,0.0,0.0
Aqua Okeano,4,4,1,1,microbiological (pathogenic) clostridium botulinum,Class I,Winter,2020-02-25,2020-02-25,0.0,4,0,0,0,100.0,0.0,0.0,0.0
The Sweet Potato,4,4,1,1,microbiological (pathogenic) e.coli o157:h7,Class I,Fall,2019-10-28,2019-10-28,0.0,4,0,0,0,100.0,0.0,0.0,0.0
River Rance,4,4,1,1,microbiological (pathogenic) listeria,Class I,Spring,2012-05-20,2012-05-20,0.0,4,0,0,0,100.0,0.0,0.0,0.0
Amsterdam Brewery,4,4,1,2,microbiological (quality) yeasts,Class III,Fall,2015-08-27,2016-09-09,94.8,0,0,4,0,0.0,0.0,100.0,0.0
Daniella,4,3,1,1,microbiological (pathogenic) salmonella,Class I,Summer,2012-08-24,2012-08-31,1.8,4,0,0,0,100.0,0.0,0.0,0.0
Amira,4,4,2,2,microbiological (pathogenic) e.coli o157:h7,Class I,Spring,2011-04-03,2015-02-26,356.0,3,1,0,0,75.0,25.0,0.0,0.0
Michael-Angelo'S Market Place Inc. (Aurora),4,3,1,1,microbiological (pathogenic) e.coli o157:h7,Class I,Spring,2017-05-09,2017-05-10,0.2,4,0,0,0,100.0,0.0,0.0,0.0
Made To Go,4,4,1,1,microbiological (pathogenic) listeria,Class I,Winter,2017-12-27,2017-12-27,0.0,4,0,0,0,100.0,0.0,0.0,0.0
Konrads.Ca,4,4,1,1,microbiological (pathogenic) salmonella,Class II,Fall,2014-09-11,2014-09-11,0.0,0,4,0,0,0.0,100.0,0.0,0.0
Reid Mini Gems,4,1,1,1,microbiological (pathogenic) vibrio parahaemolyticus,Class III,Summer,2015-08-18,2015-08-18,0.0,0,0,4,0,0.0,0.0,100.0,0.0
Redline Brewhouse,4,4,1,1,microbiological (other),Class III,Summer,2017-08-16,2017-08-16,0.0,0,0,4,0,0.0,0.0,100.0,0.0
Sienna,4,4,1,1,microbiological (quality) molds,Class III,Winter,2015-12-14,2015-12-14,0.0,0,0,4,0,0.0,0.0,100.0,0.0
Ready-Set-Serve By Markon,4,4,1,1,microbiological (pathogenic) salmonella,Class II,Fall,2023-11-17,2023-11-27,2.5,0,4,0,0,0.0,100.0,0.0,0.0
Delta Foods,4,2,1,1,microbiological (pathogenic) listeria,Class I,Spring,2014-03-13,2014-03-17,0.8,4,0,0,0,100.0,0.0,0.0,0.0
Rea,4,1,1,1,microbiological (pathogenic) salmonella,Class II,Fall,2014-09-25,2014-09-25,0.0,0,4,0,0,0.0,100.0,0.0,0.0
Sobeys Inc.,4,4,1,1,microbiological (pathogenic) e.coli o157:h7,Class I,Fall,2012-09-17,2012-09-22,1.2,4,0,0,0,100.0,0.0,0.0,0.0
Larabar,4,1,1,1,microbiological (quality) molds,Class III,Fall,2012-10-31,2012-11-02,0.2,0,0,4,0,0.0,0.0,100.0,0.0
Snow Cap,4,4,1,1,microbiological (pathogenic) e.coli,Class II,Summer,2017-06-13,2017-06-13,0.0,0,4,0,0,0.0,100.0,0.0,0.0
Skeena Select,4,4,1,1,microbiological (pathogenic) salmonella,Class I,Summer,2020-08-07,2020-08-07,0.0,4,0,0,0,100.0,0.0,0.0,0.0
Tout En Fruits / All Fruits Ltd,4,3,1,1,microbiological (pathogenic) listeria,Class I,Spring,2014-03-26,2014-03-26,0.0,4,0,0,0,100.0,0.0,0.0,0.0
Signature Cafe,4,2,1,2,microbiological (pathogenic) listeria,Class I,Summer,2011-08-12,2014-02-25,231.8,4,0,0,0,100.0,0.0,0.0,0.0
Schmidt'S Bulk Pantry,4,4,1,1,microbiological (pathogenic) e.coli,Class II,Summer,2017-06-28,2017-06-28,0.0,0,4,0,0,0.0,100.0,0.0,0.0
Chefs Plate,4,1,1,1,microbiological (pathogenic) salmonella,Class II,Winter,2019-01-21,2019-01-21,0.0,0,4,0,0,0.0,100.0,0.0,0.0
Sawmill Bay Dd'S,4,1,1,1,microbiological (pathogenic) vibrio parahaemolyticus,Class III,Summer,2015-08-18,2015-08-18,0.0,0,0,4,0,0.0,0.0,100.0,0.0
Collection Karo,4,2,1,1,microbiological (other),Class III,Winter,2015-12-09,2015-12-09,0.0,0,0,4,0,0.0,0.0,100.0,0.0
Ka Xing,4,2,1,1,"extraneous material (non-harmful) insect, microbiological (quality) molds",Class III,Winter,2016-02-23,2016-02-23,0.0,0,0,4,0,0.0,0.0,100.0,0.0
Loop Mission,4,3,1,1,microbiological (quality) yeasts,Class III,Winter,2022-11-07,2022-12-20,10.8,0,0,4,0,0.0,0.0,100.0,0.0
Atlantic Sprout Farm,4,1,1,1,microbiological (quality) coliform,Class III,Winter,2015-01-23,2015-01-23,0.0,0,0,4,0,0.0,0.0,100.0,0.0
Chef Destinations,4,2,1,1,microbiological (pathogenic) listeria,Class I,Spring,2017-03-23,2017-04-01,2.0,4,0,0,0,100.0,0.0,0.0,0.0
Tip Top Poultry Inc.,4,4,1,1,microbiological (pathogenic) listeria,Class II,Fall,2019-09-30,2019-09-30,0.0,0,4,0,0,0.0,100.0,0.0,0.0
Salaison Alpha Ltée / Alpha Meat Packers Ltd,4,3,1,1,microbiological (pathogenic) e.coli o157:h7,Class I,Fall,2019-10-04,2019-10-04,0.0,4,0,0,0,100.0,0.0,0.0,0.0
Charcuterie Parisienne,4,4,1,1,microbiological (pathogenic) listeria,Class I,Fall,2016-11-08,2016-11-08,0.0,4,0,0,0,100.0,0.0,0.0,0.0
Chagnon,4,2,1,1,microbiological (pathogenic) e.coli,Class II,Fall,2017-10-03,2017-10-03,0.0,0,4,0,0,0.0,100.0,0.0,0.0
Lilydale,4,3,1,1,microbiological (pathogenic) listeria,Class I,Spring,2015-03-25,2015-04-01,1.8,4,0,0,0,100.0,0.0,0.0,0.0
Lebon,4,4,2,2,"microbiological (quality) acc, microbiological (quality) molds",Class III,Summer,2015-08-19,2017-11-22,206.2,0,0,4,0,0.0,0.0,100.0,0.0
Deli Classic,4,3,1,1,microbiological (pathogenic) listeria,Class I,Spring,2018-03-27,2018-04-17,5.0,4,0,0,0,100.0,0.0,0.0,0.0
Les Viandes Forget,4,2,1,1,microbiological (pathogenic) e.coli o157:h7,Class I,Spring,2018-03-18,2018-03-27,2.0,4,0,0,0,100.0,0.0,0.0,0.0
Pure Flavor Grillers,4,4,1,1,microbiological (pathogenic) listeria,Class I,Summer,2012-08-16,2012-08-16,0.0,4,0,0,0,100.0,0.0,0.0,0.0
Woodward,4,4,1,1,microbiological (pathogenic) e.coli o157:h7,Class I,Fall,2012-09-27,2012-09-27,0.0,4,0,0,0,100.0,0.0,0.0,0.0
Presidents Choice,4,1,1,1,microbiological (pathogenic) e.coli o157:h7,Class I,Fall,2012-09-28,2012-10-03,1.2,4,0,0,0,100.0,0.0,0.0,0.0
Adonis,4,4,2,2,microbiological (pathogenic) e.coli o157:h7,Class I,Fall,2019-10-09,2024-03-28,408.0,3,0,1,0,75.0,0.0,25.0,0.0
Wufuyuan,4,3,1,1,microbiological (quality) molds,Class III,Winter,2017-02-13,2017-02-24,2.8,0,0,4,0,0.0,0.0,100.0,0.0
Africa Trading,4,4,1,1,microbiological (pathogenic) e.coli o157:h7,Class I,Fall,2012-10-06,2012-10-06,0.0,4,0,0,0,100.0,0.0,0.0,0.0
Suraj,4,4,3,3,microbiological (quality) molds,Class III,Summer,2012-06-15,2016-07-22,374.5,0,1,3,0,0.0,25.0,75.0,0.0
Buckingham Meat Market,4,4,1,1,microbiological (pathogenic) e.coli o157:h7,Class I,Fall,2019-10-09,2019-10-18,2.2,4,0,0,0,100.0,0.0,0.0,0.0
Aki,4,4,1,1,microbiological (pathogenic) clostridium botulinum,Class I,Fall,2017-11-01,2017-11-24,5.5,4,0,0,0,100.0,0.0,0.0,0.0
Super A,4,4,1,1,microbiological (pathogenic) e.coli o157:h7,Class I,Fall,2012-09-21,2012-10-03,3.0,4,0,0,0,100.0,0.0,0.0,0.0
Sullivan'S Butcher Shop,4,4,1,1,microbiological (pathogenic) e.coli o157:h7,Class I,Fall,2019-10-17,2019-10-17,0.0,4,0,0,0,100.0,0.0,0.0,0.0
Sysco Imperial Fresh,4,2,2,2,microbiological (pathogenic) listeria,Class I,Fall,2016-02-18,2019-11-03,338.5,3,1,0,0,75.0,25.0,0.0,0.0
Aliments Sano Halal Food,4,1,1,1,microbiological (pathogenic) salmonella,Class III,Summer,2022-07-11,2022-07-11,0.0,0,0,4,0,0.0,0.0,100.0,0.0
Woori Meat Shop,4,4,1,1,microbiological (pathogenic) e.coli o157:h7,Class I,Fall,2019-10-11,2019-10-11,0.0,4,0,0,0,100.0,0.0,0.0,0.0
Provigo,4,4,1,1,microbiological (pathogenic) e.coli o157:h7,Class I,Fall,2020-09-27,2020-09-27,0.0,4,0,0,0,100.0,0.0,0.0,0.0
All Asia Fresh,4,3,1,1,microbiological (pathogenic) listeria,Class I,Spring,2016-05-10,2016-05-10,0.0,4,0,0,0,100.0,0.0,0.0,0.0
Butcher'S Choice / Le Choix Du Boucher,4,3,1,1,microbiological (pathogenic) e.coli o157:h7,Class I,Winter,2012-12-13,2012-12-14,0.2,4,0,0,0,100.0,0.0,0.0,0.0
Quality Fast Foods Classics,4,3,1,1,microbiological (pathogenic) listeria,Class I,Winter,2017-12-21,2017-12-27,1.2,4,0,0,0,100.0,0.0,0.0,0.0
Lao Beijing,4,4,1,1,microbiological (quality) molds,Class III,Summer,2022-06-29,2022-06-29,0.0,0,0,4,0,0.0,0.0,100.0,0.0
Zehr'S Country Market - Millbank,4,4,1,1,microbiological (pathogenic) e.coli,Class II,Summer,2017-06-21,2017-06-21,0.0,0,4,0,0,0.0,100.0,0.0,0.0
Quaker Harvest / Quaker Nature,4,2,1,1,microbiological (pathogenic) listeria,Class I,Spring,2016-05-16,2016-06-02,4.0,4,0,0,0,100.0,0.0,0.0,0.0
Taylor Farms,4,3,2,2,microbiological (pathogenic) listeria,Class I,Winter,2021-12-13,2024-02-19,199.5,2,2,0,0,50.0,50.0,0.0,0.0
Canadian Heritage Organics,4,1,1,1,microbiological (quality) molds,Class III,Winter,2012-12-21,2012-12-21,0.0,0,0,4,0,0.0,0.0,100.0,0.0
Les Soeurs En Vrac,4,4,1,1,microbiological (other),Class II,Spring,2013-03-22,2013-03-22,0.0,0,4,0,0,0.0,100.0,0.0,0.0
Pier-C,4,2,1,1,microbiological (pathogenic) salmonella,Class I,Fall,2021-10-28,2021-10-28,0.0,4,0,0,0,100.0,0.0,0.0,0.0
Lamb'S Supreme,4,1,1,1,microbiological (pathogenic) listeria,Class I,Summer,2022-08-26,2022-08-30,1.0,4,0,0,0,100.0,0.0,0.0,0.0
King James,4,1,1,1,microbiological (pathogenic) listeria,Class II,Summer,2011-05-19,2011-06-07,4.5,0,4,0,0,0.0,100.0,0.0,0.0
Stellar Bay Gold,4,2,1,1,microbiological (pathogenic) vibrio parahaemolyticus,Class III,Summer,2015-08-18,2015-08-18,0.0,0,0,4,0,0.0,0.0,100.0,0.0
Supherb Farms,3,3,1,1,microbiological (pathogenic) listeria,Class I,Summer,2022-08-12,2022-08-19,2.3,3,0,0,0,100.0,0.0,0.0,0.0
Good Boucher,3,2,1,1,microbiological (pathogenic) e.coli o157:h7,Class I,Spring,2018-03-18,2018-03-18,0.0,3,0,0,0,100.0,0.0,0.0,0.0
Belleisle Farms,3,2,1,2,microbiological (pathogenic) listeria,Class I,Fall,2014-08-19,2018-09-19,497.0,3,0,0,0,100.0,0.0,0.0,0.0
"Ghadir Meat Market (1821 Lawrence Ave E, Scarborough)",3,3,1,1,microbiological (pathogenic) e.coli o157:h7,Class I,Spring,2017-05-09,2017-05-09,0.0,3,0,0,0,100.0,0.0,0.0,0.0
No Name,3,3,2,2,microbiological (pathogenic) e.coli o157:h7,Class I,Spring,2012-03-17,2015-06-30,400.0,3,0,0,0,100.0,0.0,0.0,0.0
Toscana Meats Distributors Vaughan Inc.,3,3,1,1,microbiological (pathogenic) e.coli o157:h7,Class I,Fall,2019-10-11,2019-10-11,0.0,3,0,0,0,100.0,0.0,0.0,0.0
None / Aucun - Pat Thornhill Market,3,3,1,1,microbiological (pathogenic) e.coli o157:h7,Class I,Fall,2019-10-10,2019-10-10,0.0,3,0,0,0,100.0,0.0,0.0,0.0
Giant Tiger,3,3,1,1,microbiological (pathogenic) e.coli o157:h7,Class I,Fall,2012-09-18,2012-09-18,0.0,3,0,0,0,100.0,0.0,0.0,0.0
Tia,3,3,1,1,microbiological (pathogenic) e.coli o157:h7,Class I,Spring,2011-04-03,2011-04-03,0.0,3,0,0,0,100.0,0.0,0.0,0.0
Beurre Du Lac,3,1,1,1,microbiological (pathogenic) listeria,Class I,Summer,2017-07-08,2017-07-21,4.3,3,0,0,0,100.0,0.0,0.0,0.0
Burton Meats,3,3,1,1,microbiological (pathogenic) e.coli o157:h7,Class I,Fall,2016-11-15,2016-11-15,0.0,3,0,0,0,100.0,0.0,0.0,0.0
Boku,3,2,1,1,microbiological (pathogenic) salmonella,Class II,Summer,2014-08-18,2014-08-18,0.0,0,3,0,0,0.0,100.0,0.0,0.0
Brodie,3,1,1,1,microbiological (pathogenic) e.coli,Class II,Spring,2017-04-11,2017-05-19,12.3,0,3,0,0,0.0,100.0,0.0,0.0
The Kitchen Table,3,3,1,1,microbiological (pathogenic) e.coli o157:h7,Class I,Fall,2012-10-01,2012-10-01,0.0,3,0,0,0,100.0,0.0,0.0,0.0
Golden Dipt,3,1,1,1,microbiological (pathogenic) e.coli,Class I,Summer,2016-07-13,2016-07-13,0.0,3,0,0,0,100.0,0.0,0.0,0.0
Big Way,3,3,1,1,microbiological (pathogenic) e.coli o157:h7,Class I,Fall,2012-09-21,2012-09-21,0.0,3,0,0,0,100.0,0.0,0.0,0.0
Kootenay Meadows,3,1,2,1,microbiological (quality) generic e.coli,Class II,Summer,2023-05-27,2023-07-05,12.7,0,3,0,0,0.0,100.0,0.0,0.0
None - Packaged For Aliments Vegegourmet Foods,3,2,1,1,microbiological (pathogenic) listeria,Class I,Spring,2014-03-13,2014-03-17,1.0,3,0,0,0,100.0,0.0,0.0,0.0
Gogo Squeez,3,3,2,2,microbiological (quality) molds,Class III,Fall,2015-10-21,2023-12-27,996.3,0,0,3,0,0.0,0.0,100.0,0.0
The Beef Boutique Ltd.,3,3,1,1,microbiological (pathogenic) e.coli o157:h7,Class I,Fall,2019-10-05,2019-10-05,0.0,3,0,0,0,100.0,0.0,0.0,0.0
T. Lauzon Ltée,3,3,1,1,microbiological (pathogenic) e.coli o157:h7,Class I,Fall,2012-02-29,2012-09-27,70.3,3,0,0,0,100.0,0.0,0.0,0.0
Bona,3,1,1,1,microbiological (pathogenic) salmonella,Class II,Fall,2014-09-25,2014-09-25,0.0,0,3,0,0,0.0,100.0,0.0,0.0
Ballarini,3,2,1,1,microbiological (pathogenic) listeria,Class I,Summer,2013-08-02,2013-08-08,1.7,3,0,0,0,100.0,0.0,0.0,0.0
Veggie Foodle,3,2,1,1,microbiological (pathogenic) listeria,Class I,Summer,2021-08-20,2021-08-30,3.0,3,0,0,0,100.0,0.0,0.0,0.0
Krown,3,3,1,2,microbiological (pathogenic) salmonella,Class I,Summer,2012-11-21,2020-08-12,940.3,2,1,0,0,66.67,33.33,0.0,0.0
Montana,3,2,2,2,microbiological (other),Class I,Spring,2012-03-19,2018-04-20,740.7,2,0,1,0,66.67,0.0,33.33,0.0
Hallé Services Alimentaires,3,2,1,1,microbiological (pathogenic) e.coli o157:h7,Class I,Fall,2012-10-03,2012-10-20,5.7,3,0,0,0,100.0,0.0,0.0,0.0
La Boucherie Fine Meats,3,3,1,1,microbiological (pathogenic) e.coli o157:h7,Class I,Fall,2019-10-16,2019-10-16,0.0,3,0,0,0,100.0,0.0,0.0,0.0
Mumm'S,3,3,1,1,microbiological (pathogenic) salmonella,Class II,Spring,2012-03-30,2012-04-04,1.3,0,3,0,0,0.0,100.0,0.0,0.0
Alpha Meat Packers Ltd./ Salaison Alpha Ltee,3,3,1,1,microbiological (pathogenic) e.coli o157:h7,Class I,Spring,2016-03-24,2016-03-24,0.0,3,0,0,0,100.0,0.0,0.0,0.0
Happy Planet,3,2,2,2,microbiological (other),Class III,Fall,2018-11-13,2020-09-25,227.3,0,0,3,0,0.0,0.0,100.0,0.0
Mrs. Giles,3,1,1,1,microbiological (pathogenic) listeria,Class I,Fall,2013-10-23,2013-11-03,3.7,3,0,0,0,100.0,0.0,0.0,0.0
Mountainoak Cheese,3,3,1,1,microbiological (pathogenic) salmonella,Class II,Winter,2015-02-10,2015-02-10,0.0,0,3,0,0,0.0,100.0,0.0,0.0
All Seasons,3,1,1,1,microbiological (pathogenic) salmonella,Class II,Summer,2012-08-06,2012-08-06,0.0,0,3,0,0,0.0,100.0,0.0,0.0
Harvest Fresh,3,2,1,1,microbiological (pathogenic) listeria,Class I,Summer,2021-07-24,2021-08-01,2.7,3,0,0,0,100.0,0.0,0.0,0.0
Mehadrin 4412532 Canada Inc.,3,3,1,1,microbiological (pathogenic) e.coli o157:h7,Class I,Fall,2019-10-12,2019-10-12,0.0,3,0,0,0,100.0,0.0,0.0,0.0
La Fromagerie Hamel,3,2,1,1,microbiological (pathogenic) e.coli,Class II,Summer,2014-07-28,2014-08-06,2.7,0,3,0,0,0.0,100.0,0.0,0.0
Alwatania (Arabic Characters Only),3,2,1,1,microbiological (pathogenic) salmonella,Class II,Fall,2020-10-15,2020-10-15,0.0,0,3,0,0,0.0,100.0,0.0,0.0
La Vache À Maillotte,3,3,2,2,microbiological (pathogenic) listeria,Class I,Winter,2020-08-17,2023-01-19,294.7,2,1,0,0,66.67,33.33,0.0,0.0
Menu,3,3,2,2,microbiological (other),Class III,Spring,2015-04-10,2017-05-19,256.3,0,1,2,0,0.0,33.33,66.67,0.0
Adam Brothers Family Farms,3,2,1,1,microbiological (pathogenic) e.coli o157:h7,Class I,Winter,2018-12-15,2018-12-15,0.0,3,0,0,0,100.0,0.0,0.0,0.0
Modern Meat,3,2,1,1,microbiological (pathogenic) salmonella,Class I,Summer,2020-08-14,2020-08-14,0.0,3,0,0,0,100.0,0.0,0.0,0.0
Xan Confections,3,3,1,1,microbiological (pathogenic) salmonella,Class I,Fall,2012-10-12,2012-10-12,0.0,3,0,0,0,100.0,0.0,0.0,0.0
Xl Foods,3,3,1,1,microbiological (pathogenic) e.coli o157:h7,Class I,Fall,2012-09-27,2012-09-27,0.0,3,0,0,0,100.0,0.0,0.0,0.0
365 Organic Everyday Value (Whole Foods Market),3,1,1,1,microbiological (pathogenic) salmonella,Class II,Spring,2014-04-05,2014-04-08,1.0,0,3,0,0,0.0,100.0,0.0,0.0
Hero Certified Burgers,3,3,1,1,microbiological (pathogenic) e.coli o157:h7,Class I,Spring,2012-03-17,2012-03-17,0.0,3,0,0,0,100.0,0.0,0.0,0.0
Miss Vickie'S,3,1,1,1,microbiological (pathogenic) salmonella,Class II,Spring,2017-04-21,2017-04-21,0.0,0,3,0,0,0.0,100.0,0.0,0.0
365 Everyday Value (Whole Foods Market),3,2,1,1,microbiological (pathogenic) salmonella,Class II,Spring,2014-04-05,2014-04-05,0.0,0,3,0,0,0.0,100.0,0.0,0.0
Wcd (White Cap Distribution),3,2,1,1,microbiological (pathogenic) listeria,Class I,Spring,2014-03-13,2014-03-17,1.0,3,0,0,0,100.0,0.0,0.0,0.0
La Belle Bretagne,3,3,1,1,microbiological (pathogenic) clostridium perfringens,Class II,Winter,2012-02-29,2012-02-29,0.0,0,3,0,0,0.0,100.0,0.0,0.0
Two Century Farm,3,1,1,1,microbiological (pathogenic) e.coli o157:h7,Class I,Fall,2014-10-31,2014-10-31,0.0,3,0,0,0,100.0,0.0,0.0,0.0
Nestle,3,2,2,2,microbiological (pathogenic) salmonella,Class I,Fall,2012-10-01,2023-03-18,1273.0,2,1,0,0,66.67,33.33,0.0,0.0
Un Monde De Saveurs,3,3,1,1,microbiological (quality) yeasts,Class III,Fall,2017-09-18,2017-09-18,0.0,0,0,3,0,0.0,0.0,100.0,0.0
New Moon Tea Co.,3,2,1,1,microbiological (pathogenic) salmonella,Class II,Spring,2016-05-18,2016-05-18,0.0,0,3,0,0,0.0,100.0,0.0,0.0
Goritsas Food Services,3,3,1,1,microbiological (pathogenic) listeria,Class I,Spring,2014-03-17,2014-03-17,0.0,3,0,0,0,100.0,0.0,0.0,0.0
Aunt Jemima,3,3,1,1,microbiological (pathogenic) listeria,Class I,Spring,2017-05-05,2017-05-05,0.0,3,0,0,0,100.0,0.0,0.0,0.0
Vallery Produce Plus,3,3,1,1,microbiological (pathogenic) listeria,Class I,Summer,2013-06-18,2013-06-18,0.0,3,0,0,0,100.0,0.0,0.0,0.0
Mccain Jon-Lin Naturesmart,3,3,1,1,"microbiological (pathogenic) listeria, microbiological (pathogenic) salmonella",Class II,Fall,2018-10-12,2018-10-12,0.0,0,3,0,0,0.0,100.0,0.0,0.0
Gpe,3,3,1,1,microbiological (pathogenic) salmonella,Class II,Spring,2022-04-20,2022-04-22,0.7,0,3,0,0,0.0,100.0,0.0,0.0
Grainworks,3,1,1,1,microbiological (pathogenic) salmonella,Class II,Spring,2022-04-14,2022-04-14,0.0,0,3,0,0,0.0,100.0,0.0,0.0
Granny'S Best,3,1,1,1,microbiological (pathogenic) listeria,Class I,Winter,2015-01-07,2015-01-07,0.0,3,0,0,0,100.0,0.0,0.0,0.0
Laura Secord,3,1,1,1,microbiological (other),Class III,Summer,2017-08-11,2017-08-11,0.0,0,0,3,0,0.0,0.0,100.0,0.0
Maritime Pride,3,3,1,1,microbiological (pathogenic) salmonella,Class II,Fall,2020-10-07,2020-10-07,0.0,0,3,0,0,0.0,100.0,0.0,0.0
N/A (Cyrillic Charactersy) / S.O. (Caractères Cyrilliques),3,1,1,1,microbiological (pathogenic) clostridium botulinum,Class I,Summer,2019-08-13,2019-08-20,2.0,3,0,0,0,100.0,0.0,0.0,0.0
Nester'S Own,3,2,1,1,microbiological (pathogenic) listeria,Class I,Winter,2014-02-25,2014-02-25,0.0,3,0,0,0,100.0,0.0,0.0,0.0
Neilson Trutaste,3,2,1,1,microbiological (quality) acc,Class III,Fall,2023-09-29,2023-09-29,0.0,0,0,3,0,0.0,0.0,100.0,0.0
Viandes Giroux 1997,3,3,1,1,microbiological (pathogenic) e.coli o157:h7,Class I,Fall,2012-09-27,2012-09-27,0.0,3,0,0,0,100.0,0.0,0.0,0.0
Green'S Meat Market,3,3,1,1,microbiological (pathogenic) e.coli,Class II,Summer,2017-06-21,2017-06-21,0.0,0,3,0,0,0.0,100.0,0.0,0.0
Village Meat Product And Deli,3,3,1,1,microbiological (pathogenic) e.coli o157:h7,Class I,Fall,2019-10-22,2019-10-22,0.0,3,0,0,0,100.0,0.0,0.0,0.0
Aoun,3,3,1,2,microbiological (pathogenic) salmonella,Class II,Winter,2021-12-18,2022-01-11,7.7,0,3,0,0,0.0,100.0,0.0,0.0
Vrac (Bulk),3,3,1,1,microbiological (other),Class II,Spring,2013-03-22,2013-03-22,0.0,0,3,0,0,0.0,100.0,0.0,0.0
Gros Cap,3,3,1,1,microbiological (other),Class III,Fall,2014-09-10,2014-09-10,0.0,0,0,3,0,0.0,0.0,100.0,0.0
Nancy'S Fancy Yummy-In-The-Tummy,3,3,1,1,microbiological (other),Class II,Winter,2019-02-08,2019-02-08,0.0,0,3,0,0,0.0,100.0,0.0,0.0
Gwillimdale Farms,3,1,1,1,microbiological (pathogenic) salmonella,Class I,Fall,2021-10-22,2021-10-22,0.0,3,0,0,0,100.0,0.0,0.0,0.0
Sunridge Farms,3,3,1,1,microbiological (pathogenic) salmonella,Class I,Fall,2012-09-26,2012-09-27,0.0,3,0,0,0,100.0,0.0,0.0,0.0
Stonemill Kitchens,3,1,1,1,microbiological (pathogenic) listeria,Class I,Fall,2013-10-23,2013-11-03,3.7,3,0,0,0,100.0,0.0,0.0,0.0
Sun Valley Fresh Foods,3,3,1,1,microbiological (pathogenic) listeria,Class I,Winter,2014-02-25,2014-02-25,0.0,3,0,0,0,100.0,0.0,0.0,0.0
Nutri,3,1,1,1,microbiological (pathogenic) salmonella,Class II,Fall,2020-11-19,2020-11-19,0.0,0,3,0,0,0.0,100.0,0.0,0.0
Mann'S Crave A Bowl,3,3,1,1,microbiological (pathogenic) listeria,Class I,Fall,2019-11-03,2019-11-03,0.0,3,0,0,0,100.0,0.0,0.0,0.0
Quality Foods,3,3,1,1,microbiological (pathogenic) e.coli o157:h7,Class I,Fall,2012-10-05,2012-10-05,0.0,3,0,0,0,100.0,0.0,0.0,0.0
Fiesta Farms,3,3,1,1,microbiological (pathogenic) e.coli o157:h7,Class I,Fall,2019-10-11,2019-10-11,0.0,3,0,0,0,100.0,0.0,0.0,0.0
Itallissima,3,3,1,1,microbiological (pathogenic) listeria,Class I,Summer,2013-06-18,2013-06-18,0.0,3,0,0,0,100.0,0.0,0.0,0.0
Remark Fresh Markets,3,3,1,1,microbiological (pathogenic) e.coli,Class II,Summer,2017-06-21,2017-06-28,2.0,0,3,0,0,0.0,100.0,0.0,0.0
Florence Meat Supplies Ltd.,3,3,1,1,microbiological (pathogenic) e.coli o157:h7,Class I,Fall,2019-10-10,2019-10-10,0.0,3,0,0,0,100.0,0.0,0.0,0.0
One Fine Food,3,3,1,1,microbiological (pathogenic) e.coli o157:h7,Class I,Fall,2019-10-18,2019-10-18,0.0,3,0,0,0,100.0,0.0,0.0,0.0
Mac'S Oysters Ltd.,3,3,1,1,microbiological (pathogenic) vibrio parahaemolyticus,Class III,Summer,2015-08-18,2015-08-18,0.0,0,0,3,0,0.0,0.0,100.0,0.0
Olli Salumeria,3,3,1,1,microbiological (pathogenic) listeria,Class I,Spring,2018-03-02,2018-03-02,0.0,3,0,0,0,100.0,0.0,0.0,0.0
